Date : 2023-03-30 22:16:44
Directory : e:\毕业设计相关\果帕雅微信小程序
Total : 296 files,  25332 codes, 3165 comments, 1899 blanks, all 30396 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\毕业设计相关\果帕雅微信小程序\pages\aaaademo\index.wxss                                                   | CSS        |        283 |          2 |          3 |        288 |
| e:\毕业设计相关\果帕雅微信小程序\pages\cart\index.js                                                         | JavaScript |        291 |        104 |          5 |        400 |
| e:\毕业设计相关\果帕雅微信小程序\pages\cart\index.json                                                       | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\cart\index.less                                                       | Less       |        329 |          0 |         30 |        359 |
| e:\毕业设计相关\果帕雅微信小程序\pages\cart\index.wxml                                                       | wxml       |        148 |         15 |          7 |        170 |
| e:\毕业设计相关\果帕雅微信小程序\pages\cart\index.wxss                                                       | CSS        |        319 |          0 |          1 |        320 |
| e:\毕业设计相关\果帕雅微信小程序\pages\dianzan\index.js                                                      | JavaScript |         70 |          4 |          7 |         81 |
| e:\毕业设计相关\果帕雅微信小程序\pages\dianzan\index.json                                                    | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\dianzan\index.wxml                                                    | wxml       |         45 |          0 |          5 |         50 |
| e:\毕业设计相关\果帕雅微信小程序\pages\dianzan\index.wxss                                                    | CSS        |         72 |          1 |          1 |         74 |
| e:\毕业设计相关\果帕雅微信小程序\pages\feedback\index.js                                                     | JavaScript |        261 |         36 |         11 |        308 |
| e:\毕业设计相关\果帕雅微信小程序\pages\feedback\index.json                                                   | JSON       |          7 |          0 |          1 |          8 |
| e:\毕业设计相关\果帕雅微信小程序\pages\feedback\index.less                                                   | Less       |         60 |          0 |          7 |         67 |
| e:\毕业设计相关\果帕雅微信小程序\pages\feedback\index.wxml                                                   | wxml       |         41 |          0 |          5 |         46 |
| e:\毕业设计相关\果帕雅微信小程序\pages\feedback\index.wxss                                                   | CSS        |         58 |          0 |          1 |         59 |
| e:\毕业设计相关\果帕雅微信小程序\pages\fenxiang\index.js                                                     | JavaScript |         73 |          4 |          4 |         81 |
| e:\毕业设计相关\果帕雅微信小程序\pages\fenxiang\index.json                                                   | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\fenxiang\index.wxml                                                   | wxml       |         45 |          0 |          5 |         50 |
| e:\毕业设计相关\果帕雅微信小程序\pages\fenxiang\index.wxss                                                   | CSS        |         72 |          1 |          1 |         74 |
| e:\毕业设计相关\果帕雅微信小程序\pages\front_page\index.js                                                   | JavaScript |        125 |          8 |          6 |        139 |
| e:\毕业设计相关\果帕雅微信小程序\pages\front_page\index.json                                                 | JSON       |          6 |          0 |          0 |          6 |
| e:\毕业设计相关\果帕雅微信小程序\pages\front_page\index.less                                                 | Less       |        360 |          0 |         28 |        388 |
| e:\毕业设计相关\果帕雅微信小程序\pages\front_page\index.wxml                                                 | wxml       |        196 |         37 |         10 |        243 |
| e:\毕业设计相关\果帕雅微信小程序\pages\front_page\index.wxss                                                 | CSS        |        356 |          3 |          1 |        360 |
| e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\index.js                                                 | JavaScript |        318 |         35 |         11 |        364 |
| e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\index.json                                               | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\index.less                                               | Less       |        217 |          1 |         10 |        228 |
| e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\index.wxml                                               | wxml       |         90 |         25 |          9 |        124 |
| e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\index.wxss                                               | CSS        |        212 |          1 |          1 |        214 |
| e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\introduce\index.js                                       | JavaScript |         22 |          0 |          5 |         27 |
| e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\introduce\index.json                                     | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\introduce\index.less                                     | Less       |         48 |          0 |          2 |         50 |
| e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\introduce\index.wxml                                     | wxml       |         29 |          0 |          5 |         34 |
| e:\毕业设计相关\果帕雅微信小程序\pages\goods_detail\introduce\index.wxss                                     | CSS        |         44 |          0 |          1 |         45 |
| e:\毕业设计相关\果帕雅微信小程序\pages\historySee\index.js                                                   | JavaScript |        171 |          8 |          9 |        188 |
| e:\毕业设计相关\果帕雅微信小程序\pages\historySee\index.json                                                 | JSON       |          5 |          0 |          0 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\pages\historySee\index.wxml                                                 | wxml       |         71 |          6 |          6 |         83 |
| e:\毕业设计相关\果帕雅微信小程序\pages\historySee\index.wxss                                                 | CSS        |        134 |          1 |          0 |        135 |
| e:\毕业设计相关\果帕雅微信小程序\pages\index\index.js                                                        | JavaScript |         20 |         28 |         18 |         66 |
| e:\毕业设计相关\果帕雅微信小程序\pages\index\index.wxml                                                      | wxml       |          1 |          1 |          1 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\pages\login\index.js                                                        | JavaScript |        102 |         12 |          7 |        121 |
| e:\毕业设计相关\果帕雅微信小程序\pages\login\index.json                                                      | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\login\index.wxml                                                      | wxml       |          1 |          1 |          2 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\login\index.wxss                                                      | CSS        |          4 |          1 |          0 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat1\index.js                                                | JavaScript |         41 |         18 |          7 |         66 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat1\index.json                                              | JSON       |          3 |          0 |          0 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat1\index.less                                              | Less       |         52 |          3 |          1 |         56 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat1\index.wxml                                              | wxml       |         46 |          2 |          2 |         50 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat1\index.wxss                                              | CSS        |         48 |          3 |          1 |         52 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\index.js                                                 | JavaScript |        174 |         13 |          5 |        192 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\index.json                                               | JSON       |          6 |          0 |          0 |          6 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\index.less                                               | Less       |         82 |          0 |          5 |         87 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\index.wxml                                               | wxml       |        174 |         13 |          6 |        193 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\index.wxss                                               | CSS        |         70 |          0 |          1 |         71 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\show\index.js                                            | JavaScript |         68 |          4 |          7 |         79 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\show\index.json                                          | JSON       |          5 |          0 |          1 |          6 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\show\index.less                                          | Less       |         81 |          0 |          2 |         83 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\show\index.wxml                                          | wxml       |         40 |          0 |          4 |         44 |
| e:\毕业设计相关\果帕雅微信小程序\pages\nation_treat\show\index.wxss                                          | CSS        |         81 |          0 |          1 |         82 |
| e:\毕业设计相关\果帕雅微信小程序\pages\news\index.js                                                         | JavaScript |         32 |          1 |          1 |         34 |
| e:\毕业设计相关\果帕雅微信小程序\pages\news\index.json                                                       | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\news\index.wxml                                                       | wxml       |         15 |          1 |          2 |         18 |
| e:\毕业设计相关\果帕雅微信小程序\pages\news\index.wxss                                                       | CSS        |         36 |          2 |          6 |         44 |
| e:\毕业设计相关\果帕雅微信小程序\pages\news\new_detail\index.js                                              | JavaScript |         19 |          0 |          0 |         19 |
| e:\毕业设计相关\果帕雅微信小程序\pages\news\new_detail\index.json                                            | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\news\new_detail\index.wxml                                            | wxml       |         22 |          0 |          4 |         26 |
| e:\毕业设计相关\果帕雅微信小程序\pages\news\new_detail\index.wxss                                            | CSS        |         33 |          0 |          0 |         33 |
| e:\毕业设计相关\果帕雅微信小程序\pages\p_video\index.js                                                      | JavaScript |        370 |        306 |         57 |        733 |
| e:\毕业设计相关\果帕雅微信小程序\pages\p_video\index.json                                                    | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\p_video\index.wxml                                                    | wxml       |         68 |          0 |          3 |         71 |
| e:\毕业设计相关\果帕雅微信小程序\pages\p_video\index.wxss                                                    | CSS        |        104 |          5 |          6 |        115 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\addressChoose\index.js                                      | JavaScript |         60 |          7 |          2 |         69 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\addressChoose\index.json                                    | JSON       |          3 |          0 |          0 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\addressChoose\index.less                                    | Less       |         54 |          2 |          3 |         59 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\addressChoose\index.wxml                                    | wxml       |         28 |          2 |          4 |         34 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\addressChoose\index.wxss                                    | CSS        |         53 |          0 |          1 |         54 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\dingdan\index.js                                            | JavaScript |         19 |          1 |          5 |         25 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\dingdan\index.json                                          | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\dingdan\index.less                                          | Less       |         53 |          0 |          1 |         54 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\dingdan\index.wxml                                          | wxml       |         17 |          0 |          3 |         20 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\dingdan\index.wxss                                          | CSS        |         53 |          0 |          1 |         54 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\index.js                                                    | JavaScript |        237 |         14 |          8 |        259 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\index.json                                                  | JSON       |          6 |          0 |          0 |          6 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\index.less                                                  | Less       |        157 |          0 |          6 |        163 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\index.wxml                                                  | wxml       |        108 |          3 |         21 |        132 |
| e:\毕业设计相关\果帕雅微信小程序\pages\payDetail\index.wxss                                                  | CSS        |        157 |          0 |          1 |        158 |
| e:\毕业设计相关\果帕雅微信小程序\pages\search\index.js                                                       | JavaScript |         58 |         12 |          1 |         71 |
| e:\毕业设计相关\果帕雅微信小程序\pages\search\index.json                                                     | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\search\index.less                                                     | Less       |         39 |          0 |          2 |         41 |
| e:\毕业设计相关\果帕雅微信小程序\pages\search\index.wxml                                                     | wxml       |         18 |          0 |          4 |         22 |
| e:\毕业设计相关\果帕雅微信小程序\pages\search\index.wxss                                                     | CSS        |         39 |          0 |          1 |         40 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\addressEdit1\index.js                                           | JavaScript |        238 |         25 |          5 |        268 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\addressEdit1\index.json                                         | JSON       |          7 |          0 |          0 |          7 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\addressEdit1\index.less                                         | Less       |        128 |          2 |          5 |        135 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\addressEdit1\index.wxml                                         | wxml       |         68 |          0 |          3 |         71 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\addressEdit1\index.wxss                                         | CSS        |        126 |          0 |          1 |        127 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\addressEdit\index.js                                            | JavaScript |         17 |          1 |          8 |         26 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\addressEdit\index.json                                          | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\addressEdit\index.less                                          | Less       |          0 |          0 |          1 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\addressEdit\index.wxml                                          | wxml       |          0 |          0 |          3 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\addressEdit\index.wxss                                          | CSS        |          0 |          0 |          1 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\address\index.js                                                | JavaScript |        193 |         29 |         16 |        238 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\address\index.json                                              | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\address\index.less                                              | Less       |         59 |          4 |          5 |         68 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\address\index.wxml                                              | wxml       |         51 |          3 |          4 |         58 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\address\index.wxss                                              | CSS        |         59 |          1 |          1 |         61 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\index.js                                                        | JavaScript |         40 |         10 |          6 |         56 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\index.json                                                      | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\index.less                                                      | Less       |         78 |          0 |          5 |         83 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\index.wxml                                                      | wxml       |         23 |          2 |          3 |         28 |
| e:\毕业设计相关\果帕雅微信小程序\pages\setup\index.wxss                                                      | CSS        |         76 |          0 |          1 |         77 |
| e:\毕业设计相关\果帕雅微信小程序\pages\shouchang\index.js                                                    | JavaScript |         73 |          4 |          4 |         81 |
| e:\毕业设计相关\果帕雅微信小程序\pages\shouchang\index.json                                                  | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\shouchang\index.wxml                                                  | wxml       |         45 |          0 |          5 |         50 |
| e:\毕业设计相关\果帕雅微信小程序\pages\shouchang\index.wxss                                                  | CSS        |         72 |          1 |          1 |         74 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text1\index.js                                                        | JavaScript |         11 |          0 |          4 |         15 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text1\index.json                                                      | JSON       |          5 |          0 |          0 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text1\index.less                                                      | Less       |         11 |          0 |          1 |         12 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text1\index.wxml                                                      | wxml       |          7 |          1 |          2 |         10 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text1\index.wxss                                                      | CSS        |         14 |          0 |          1 |         15 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text2\index.js                                                        | JavaScript |        370 |        306 |         57 |        733 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text2\index.json                                                      | JSON       |          3 |          0 |          0 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text2\index.wxml                                                      | wxml       |         68 |          0 |          3 |         71 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text2\index.wxss                                                      | CSS        |        104 |          5 |          6 |        115 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text3\index.js                                                        | JavaScript |        122 |          2 |          7 |        131 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text3\index.json                                                      | JSON       |          3 |          0 |          0 |          3 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text3\index.less                                                      | Less       |         58 |          6 |          1 |         65 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text3\index.wxml                                                      | wxml       |         32 |          0 |          3 |         35 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text3\index.wxss                                                      | CSS        |         46 |          1 |          5 |         52 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text\index.js                                                         | JavaScript |         39 |          2 |          2 |         43 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text\index.json                                                       | JSON       |          6 |          0 |          0 |          6 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text\index.less                                                       | Less       |        134 |          0 |         13 |        147 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text\index.wxml                                                       | wxml       |          7 |          0 |          8 |         15 |
| e:\毕业设计相关\果帕雅微信小程序\pages\text\index.wxss                                                       | CSS        |         12 |          0 |          1 |         13 |
| e:\毕业设计相关\果帕雅微信小程序\pages\user\index.js                                                         | JavaScript |        160 |          9 |          7 |        176 |
| e:\毕业设计相关\果帕雅微信小程序\pages\user\index.json                                                       | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\user\index.less                                                       | Less       |        505 |          5 |         11 |        521 |
| e:\毕业设计相关\果帕雅微信小程序\pages\user\index.wxml                                                       | wxml       |        224 |         36 |          9 |        269 |
| e:\毕业设计相关\果帕雅微信小程序\pages\user\index.wxss                                                       | CSS        |        491 |          0 |          1 |        492 |
| e:\毕业设计相关\果帕雅微信小程序\pages\user\order\index.js                                                   | JavaScript |        191 |         18 |          9 |        218 |
| e:\毕业设计相关\果帕雅微信小程序\pages\user\order\index.json                                                 | JSON       |          4 |          0 |          1 |          5 |
| e:\毕业设计相关\果帕雅微信小程序\pages\user\order\index.wxml                                                 | wxml       |        261 |          0 |         11 |        272 |
| e:\毕业设计相关\果帕雅微信小程序\pages\user\order\index.wxss                                                 | CSS        |        155 |          2 |          4 |        161 |
| e:\毕业设计相关\果帕雅微信小程序\pages\yangsheng1\index.js                                                   | JavaScript |         49 |          5 |          3 |         57 |
| e:\毕业设计相关\果帕雅微信小程序\pages\yangsheng1\index.json                                                 | JSON       |          5 |          0 |          2 |          7 |
| e:\毕业设计相关\果帕雅微信小程序\pages\yangsheng1\index.less                                                 | Less       |         84 |          2 |          1 |         87 |
| e:\毕业设计相关\果帕雅微信小程序\pages\yangsheng1\index.wxml                                                 | wxml       |         15 |          0 |          4 |         19 |
| e:\毕业设计相关\果帕雅微信小程序\pages\yangsheng1\index.wxss                                                 | CSS        |         82 |          7 |          1 |         90 |
| e:\毕业设计相关\果帕雅微信小程序\pages\yangsheng\index.js                                                    | JavaScript |        148 |         16 |          5 |        169 |
| e:\毕业设计相关\果帕雅微信小程序\pages\yangsheng\index.json                                                  | JSON       |          4 |          0 |          0 |          4 |
| e:\毕业设计相关\果帕雅微信小程序\pages\yangsheng\index.wxml                                                  | wxml       |         51 |          5 |          7 |         63 |
| e:\毕业设计相关\果帕雅微信小程序\pages\yangsheng\index.wxss                                                  | CSS        |        159 |         45 |         11 |        215 |
| e:\毕业设计相关\果帕雅微信小程序\project.config.json                                                         | JSON       |         72 |          0 |          0 |         72 |
| e:\毕业设计相关\果帕雅微信小程序\project.private.config.json                                                 | JSON       |        212 |          0 |          0 |        212 |
| e:\毕业设计相关\果帕雅微信小程序\request\index.js                                                            | JavaScript |         14 |          1 |          4 |         19 |
| e:\毕业设计相关\果帕雅微信小程序\sitemap.json                                                                | JSON       |          7 |          0 |          0 |          7 |
| e:\毕业设计相关\果帕雅微信小程序\utils\asyncWx.js                                                            | JavaScript |        103 |         27 |          9 |        139 |
| e:\毕业设计相关\果帕雅微信小程序\utils\qqmap-wx-jssdk1.2\qqmap-wx-jssdk.js                                   | JavaScript |        874 |        177 |         72 |      1,123 |
| e:\毕业设计相关\果帕雅微信小程序\utils\qqmap-wx-jssdk1.2\qqmap-wx-jssdk.min.js                               | JavaScript |          1 |          0 |          0 |          1 |
| e:\毕业设计相关\果帕雅微信小程序\utils\touch.js                                                              | JavaScript |         44 |          4 |          7 |         55 |
| e:\毕业设计相关\果帕雅微信小程序\utils\util.js                                                               | JavaScript |         16 |          0 |          4 |         20 |
| Total                                                                                          |            |     25,332 |      3,165 |      1,899 |     30,396 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
